POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
462-16490,-,0,Grey,SS,N,N,SFMTA,ON,0,1649,HAIGHT ST,6621000,Area 3,,"(37.7695413985, -122.4501018000)"
462-17460,-,0,Grey,SS,N,N,SFMTA,ON,0,1746,HAIGHT ST,6623000,Area 3,,"(37.7694608987, -122.4517087003)"
462-18240,-,0,Grey,SS,N,N,SFMTA,ON,0,1824,HAIGHT ST,6624000,Area 3,,"(37.7693610982, -122.4524911006)"
440-53240,-,0,Grey,SS,N,N,SFMTA,ON,0,5324,GEARY BLVD,6074201,Area 3,,"(37.7805798006, -122.4770294016)"
440-54030,-,0,Grey,SS,N,N,SFMTA,ON,0,5403,GEARY BLVD,6075101,Area 3,,"(37.7802893006, -122.4774301012)"
440-54180,-,0,Grey,SS,N,N,SFMTA,ON,0,5418,GEARY BLVD,6075201,Area 3,,"(37.7805414003, -122.4778771025)"
650-17200,-,0,Grey,SS,N,N,SFMTA,ON,0,1720,SACRAMENTO ST,11248000,Area 3,,"(37.7914697983, -122.4215074011)"
468-00540,-,0,Grey,SS,N,N,SFMTA,ON,0,54,HILLWAY AVE,6929000,Area 3,,"(37.7641382002, -122.4566264020)"
419-05060,419-05002,6,Grey,MS,Y,N,SFMTA,ON,0,506,FRANKLIN ST,5805000,Area 5,Civic Center,"(37.7793892016, -122.4217083992)"
446-00710,446-00005,71,Grey,MS,Y,N,SFMTA,ON,0,71,GROVE ST,6553000,Area 5,Civic Center,"(37.7784670022, -122.4176251997)"
446-00740,446-00006,74,Grey,MS,Y,N,SFMTA,ON,0,74,GROVE ST,6553000,Area 5,Civic Center,"(37.7786827021, -122.4174816010)"
446-00780,446-00006,78,Grey,MS,Y,N,SFMTA,ON,0,78,GROVE ST,6553000,Area 5,Civic Center,"(37.7786713977, -122.4175701977)"
461-00040,-,0,Grey,SS,N,N,SFMTA,ON,0,4,HARRINGTON ST,6705000,Area 3,,"(37.7253363979, -122.4346482975)"
614-22370,-,0,Grey,SS,N,N,SFMTA,ON,0,2237,POST ST,10651000,Area 3,,"(37.7842901003, -122.4393767023)"
666-24130,-,0,Grey,SS,N,N,SFMTA,ON,0,2413,SUTTER ST,12343000,Area 3,,"(37.7851253011, -122.4404104983)"
440-22150,-,0,Grey,SS,N,N,SFMTA,ON,0,2215,GEARY BLVD,6044101,Area 3,,"(37.7830942989, -122.4400732999)"
